time files tags foundfiles numtags
0.104595 48391 1147 376 1
0.234221 48686 1150 0 5
0.138718 51232 1153 0 8
0.17215 52110 1158 0 10
0.524428 52134 1159 0 3
0.326608 53610 1163 0 4
0.017422 54800 1168 0 10
0.255214 55657 1169 0 8
0.259101 56465 1173 3 2
0.428553 57281 1176 0 4
0.577252 58393 1181 3 2
0.574004 62718 1194 2 2
0.090611 64048 1196 0 4
0.334063 64749 1199 7 2
0.628727 67613 1205 0 3
0.4292 67855 1206 0 3
0.07759 68279 1208 0 6
0.358259 69938 1216 0 3
0.69534 72357 1223 0 3
0.349237 74081 1228 2 2
0.489439 74451 1230 0 3
0.395796 75465 1234 0 7
0.259749 75664 1235 0 5
0.137739 77362 1239 535 1
0.500986 77773 1242 0 5
0.081498 78091 1244 325 1
0.016063 78268 1246 0 5
0.685442 80636 1252 3 2
0.791639 83826 1260 0 5
0.027631 86041 1263 0 3
0.124814 87034 1264 0 5
0.487315 87272 1265 0 4
0.235859 87503 1267 1 2
0.302743 87856 1269 0 10
0.447048 88735 1271 1 2
0.180585 88921 1273 0 8
0.076036 89905 1279 0 3
0.589395 90211 1280 0 4
0.026171 91572 1285 0 11
0.897285 91641 1287 4 2
0.693202 92051 1289 5 2
0.161035 92431 1291 0 6
0.560086 93467 1296 0 5
0.527821 95131 1299 0 4
0.423482 95249 1300 0 3
0.925446 97783 1306 0 3
0.418682 98522 1308 0 3
0.206307 99116 1309 0 6
0.192838 99470 1311 668 1
0.010686 3812 1011 0 11
0.015104 4070 1013 34 1
0.034361 4471 1015 0 2
0.039365 4616 1016 0 5
0.029237 5050 1018 1 2
0.03065 6140 1021 0 4
0.013879 6599 1022 48 1
0.021992 9217 1031 75 1
0.009353 9391 1032 0 8
0.090174 12886 1040 0 7
0.120133 13715 1042 0 3
0.09784 18178 1056 0 10
0.041019 18444 1057 150 1
0.120667 20248 1062 0 6
0.134811 21945 1069 0 6
0.045344 23102 1071 179 1
0.062986 23273 1072 175 1
0.222207 23441 1073 0 4
0.056979 25604 1076 198 1
0.14512 27142 1081 0 5
0.229983 27197 1082 2 2
0.063778 28508 1086 216 1
0.06755 29901 1089 271 1
0.160109 29926 1090 0 4
0.172176 30606 1094 0 3
0.215007 30839 1095 0 3
0.083358 30876 1096 256 1
0.361173 32391 1098 0 4
0.290777 33934 1102 0 4
0.093651 36053 1109 292 1
0.086227 36464 1110 265 1
0.060133 37192 1112 266 1
0.094383 37491 1114 299 1
0.206339 41468 1125 3 2
0.452848 45004 1134 0 3
0.472932 45693 1136 2 2
0.288123 46668 1138 0 3
0.049394 49775 1145 135 1
0.456583 49777 1146 0 6
0.083952 50474 1151 374 1
0.107488 51842 1155 397 1
0.441767 58773 1170 2 2
0.129613 60048 1177 466 1
0.155147 61896 1181 0 4
0.325622 62133 1182 0 3
0.392753 62304 1183 0 3
0.108615 63885 1187 433 1
0.128054 66407 1194 485 1
0.081267 67092 1196 0 11
0.012571 70794 1204 0 8
0.439993 71120 1205 0 3
0.4946 71296 1206 0 8
0.280692 71939 1208 0 4
0.162832 72399 1209 542 1
0.373614 73849 1211 0 4
0.023822 74598 1212 0 6
0.126432 78438 1222 516 1
0.261915 79515 1227 0 3
0.369055 79675 1230 0 9
0.651234 81822 1235 6 2
0.225427 82789 1237 0 9
0.165239 82899 1239 608 1
0.024117 84440 1243 0 5
0.546576 85621 1248 0 4
0.0599 89169 1255 0 2
0.389273 90984 1262 0 5
0.061747 93635 1274 0 8
0.313105 93899 1275 0 8
0.553366 95240 1279 0 3
0.193428 96690 1286 663 1
0.668486 99441 1300 0 3
0.010825 199 1003 0 9
0.013434 1230 1006 0 4
0.089003 5387 1017 1 2
0.056794 5783 1018 0 4
0.016757 7119 1020 51 1
0.050077 8066 1023 0 6
0.024718 10482 1028 83 1
0.074391 13413 1042 0 6
0.029204 14676 1047 88 1
0.099557 16600 1056 0 3
0.125575 19011 1065 0 3
0.153579 21923 1076 0 2
0.053612 23200 1078 200 1
0.105822 23379 1079 0 3
0.161751 25608 1086 2 2
0.074289 26038 1087 231 1
0.228964 27916 1093 5 2
0.007102 28102 1095 0 4
0.223662 29199 1098 0 6
0.125276 31869 1106 0 8
0.03829 31870 1107 133 1
0.064774 33054 1109 235 1
0.168932 33777 1111 0 6
0.064585 34840 1115 0 8
0.09908 34844 1116 0 11
0.298433 36867 1120 0 3
0.210411 38339 1124 0 5
0.216018 40474 1134 0 5
0.021083 40726 1135 0 10
0.235089 42250 1139 0 5
0.241383 42317 1140 0 6
0.039896 42634 1141 0 7
0.060728 45664 1149 0 3
0.29243 45897 1151 0 4
0.103933 49282 1156 409 1
0.096472 50184 1160 376 1
0.098016 50828 1162 378 1
0.380861 51593 1165 0 3
0.080764 52090 1170 0 9
0.526064 52433 1172 2 2
0.09279 54280 1175 0 7
0.390141 58736 1187 0 5
0.352467 60162 1194 0 4
0.370573 60775 1196 4 2
0.320322 61344 1199 0 5
0.111607 61457 1201 440 1
0.263921 62282 1204 0 5
0.112775 63841 1209 354 1
0.523484 65981 1215 0 3
0.174753 67497 1221 0 8
0.349576 67690 1224 0 4
0.555675 69274 1232 0 4
0.050483 70625 1233 0 3
0.020018 71680 1236 0 10
0.174183 72821 1238 517 1
0.049028 75190 1242 0 2
0.042647 75686 1243 0 5
0.07369 78388 1248 225 1
0.514504 78793 1250 3 2
0.427462 79274 1252 0 3
0.012722 79600 1253 0 7
0.16077 83569 1262 613 1
0.543932 85497 1272 4 2
0.725232 87061 1280 7 2
0.890648 89617 1288 8 2
0.375829 90197 1290 0 2
0.151278 91614 1293 0 5
0.323797 91628 1294 0 8
0.924334 91812 1295 5 2
0.111745 91916 1298 0 8
0.554897 93283 1300 0 3
0.014501 94087 1305 34 1
0.653241 94700 1308 0 4
0.933872 95318 1310 8 2
0.155324 96058 1311 630 1
0.172143 97958 1316 649 1
0.548048 97969 1317 0 4
0.055114 98530 1319 0 4
0.885417 99299 1324 0 5
0.007834 118 1002 0 6
0.015042 844 1004 0 2
0.010015 871 1005 0 2
0.01964 2377 1011 0 13
0.006423 3361 1013 14 1
0.030315 4719 1016 0 5
0.048937 8417 1028 0 9
0.028153 9093 1031 77 1
0.027235 10167 1032 0 4
0.026617 10560 1035 88 1
0.059039 11226 1037 0 4
0.06759 12402 1039 0 12
0.101026 14323 1043 0 6
0.190748 16766 1054 2 2
0.017908 17225 1056 0 8
0.063507 17866 1060 0 6
0.164744 19527 1063 3 2
0.202065 21559 1067 0 2
0.023855 23076 1075 92 1
0.065997 23851 1081 190 1
0.239003 26382 1085 0 3
0.144837 27940 1090 0 4
0.298646 28042 1091 2 2
0.155439 30350 1101 0 3
0.198971 30515 1102 0 3
0.063408 31537 1104 0 8
0.360996 33342 1108 1 2
0.22393 36451 1116 0 3
0.074405 36547 1117 0 3
0.070496 36711 1119 0 3
0.371556 40574 1129 3 2
0.246144 41408 1133 0 3
0.10268 41999 1135 0 5
0.018777 43012 1142 0 14
0.265285 43081 1143 0 3
0.32803 44399 1147 3 2
0.104176 47011 1155 339 1
0.108043 48391 1158 351 1
0.389224 48435 1159 3 2
0.391171 48661 1160 0 3
0.134002 50436 1167 0 6
0.091515 51960 1171 0 6
0.272309 52473 1172 0 9
0.039111 53124 1174 0 10
0.127526 53440 1175 0 6
0.008484 54007 1177 0 8
0.153369 55507 1179 0 4
0.521324 57362 1182 4 2
1.19036 57406 1183 9 2
0.579318 57606 1184 0 3
0.276919 58108 1185 0 8
0.461876 58361 1187 0 3
0.143349 60517 1191 467 1
0.143658 62508 1195 0 7
0.346552 62745 1196 0 3
0.523033 63121 1197 0 3
0.098098 63457 1201 0 5
0.122834 63518 1202 444 1
0.029705 64172 1204 0 5
0.312148 64993 1208 0 8
0.63071 66164 1212 0 3
0.408137 68366 1219 6 2
0.182227 70720 1225 0 6
0.13064 71322 1227 528 1
0.127677 72426 1229 0 9
0.055369 73397 1233 0 8
0.136753 75710 1237 536 1
0.805243 76657 1241 0 3
0.531787 78044 1245 0 3
0.179137 80486 1249 554 1
0.172625 81035 1251 0 4
0.1056 81979 1256 0 4
0.182467 82296 1257 572 1
0.043922 84488 1265 115 1
0.491604 87344 1269 0 6
