time files tags associatedfiles
2.77089 86041 1263 189 
15.8091 87034 1264 618 
13.8152 87272 1265 649 
11.9195 87503 1267 640 
1.36589 87856 1269 68 
10.4483 88735 1271 654 
3.62445 88921 1273 171 
16.7588 89905 1279 639 
16.4497 90211 1280 645 
7.82699 90817 1282 505 
12.4823 91572 1285 644 
14.5672 91589 1286 634 
16.0038 91641 1287 664 
7.0208 92051 1289 365 
18.1657 92217 1290 691 
16.3039 92431 1291 641 
9.24706 93272 1295 542 
16.401 93467 1296 674 
14.8849 95131 1299 718 
15.6563 95249 1300 658 
18.0568 97783 1306 672 
13.6824 98522 1308 691 
11.184 99116 1309 675 
15.0611 99470 1311 599 
0.722795 2364 1006 25 
0.684 2942 1007 31 
0.632259 3812 1011 31 
1.02755 4070 1013 42 
0.795506 4471 1015 33 
0.470005 4616 1016 30 
0.535001 6140 1021 38 
1.08495 6599 1022 43 
1.71494 9217 1031 72 
1.23716 9391 1032 79 
1.19864 10330 1035 74 
1.83753 12886 1040 99 
2.58887 13715 1042 97 
2.83051 18178 1056 141 
3.60122 18444 1057 149 
2.74807 18448 1058 117 
3.77984 20248 1062 149 
4.10124 20705 1066 178 
4.44178 21945 1069 177 
2.68555 23102 1071 167 
3.91541 23273 1072 174 
2.76438 23441 1073 183 
2.90863 25604 1076 181 
3.52988 26450 1079 213 
3.25477 27142 1081 211 
3.94788 27197 1082 195 
4.79453 28508 1086 197 
3.67558 29901 1089 231 
3.1811 29926 1090 208 
3.25432 30606 1094 206 
6.08563 30839 1095 251 
1.36169 30876 1096 58 
5.30755 32391 1098 264 
3.50879 33934 1102 149 
2.53914 36053 1109 109 
6.46495 36464 1110 279 
3.61896 37192 1112 247 
6.39311 37491 1114 279 
4.42927 37770 1115 289 
6.27585 38846 1120 269 
4.74312 41468 1125 308 
7.0401 44442 1130 319 
8.53233 45004 1134 353 
8.00566 45693 1136 346 
8.60084 46668 1138 338 
8.26279 49775 1145 360 
6.13095 49777 1146 253 
4.79709 50154 1148 321 
8.13349 50474 1151 373 
8.44711 51842 1155 361 
10.0327 58773 1170 412 
6.90212 59532 1173 434 
7.45406 60048 1177 415 
7.19397 61896 1181 338 
6.8481 62133 1182 459 
11.4826 62304 1183 462 
9.66803 63885 1187 465 
7.64878 65134 1191 492 
10.4766 66407 1194 444 
10.7765 67092 1196 475 
9.03731 69233 1200 530 
9.04932 70794 1204 523 
11.1257 71120 1205 464 
4.68113 71296 1206 282 
10.367 71939 1208 548 
11.9117 72399 1209 495 
8.35213 73849 1211 533 
8.39176 74598 1212 554 
8.43562 78438 1222 553 
13.1782 79515 1227 561 
13.7253 79675 1230 528 
10.5366 81822 1235 552 
13.0913 82726 1236 574 
9.41163 82899 1239 572 
10.3923 84440 1243 628 
15.5411 85621 1248 594 
14.9939 86175 1250 598 
11.3726 89169 1255 432 
10.7247 90059 1259 416 
15.9464 90984 1262 626 
18.1923 91339 1263 660 
14.0726 91413 1264 658 
13.6786 93635 1274 655 
14.8904 93899 1275 626 
13.3635 95240 1279 659 
12.4708 96690 1286 697 
19.6255 99441 1300 754 
0.033485 199 1003 1 
0.399983 1230 1006 16 
0.930964 5387 1017 38 
1.116 5783 1018 49 
