time files tags numtags
0.100718 5340 1020 8
0.163094 6301 1023 9
0.123354 7383 1025 7
0.07857 13 1002 8
0.149394 1446 1003 9
0.149537 1798 1004 9
0.065094 4272 1012 5
0.147249 5366 1018 7
0.160905 5802 1020 10
0.165431 7231 1025 10
0.158854 7774 1026 9
0.084865 10095 1029 4
0.125757 10705 1031 7
0.159302 11270 1033 10
0.196354 12207 1034 11
0.199996 15489 1045 13
0.131747 16129 1047 7
0.133779 17556 1051 9
0.17557 18392 1053 10
0.159778 18901 1056 14
0.091468 19222 1057 1
0.097961 19350 1058 4
0.113624 19764 1061 6
0.139054 23138 1070 8
0.061393 23560 1074 5
0.123579 23790 1075 8
0.101809 25011 1078 8
0.238904 27496 1085 9
0.137265 28593 1088 12
0.198609 29630 1090 13
0.178152 29870 1091 8
0.153251 30204 1092 6
0.104309 32026 1100 4
0.122837 33116 1106 9
0.099095 33269 1108 6
0.211102 34684 1110 11
0.17439 36232 1113 9
0.267664 39100 1122 11
0.197744 40082 1123 9
0.162568 40138 1124 10
0.138347 42490 1126 7
0.20608 44674 1130 12
0.272461 45593 1133 11
0.084613 45743 1134 5
0.191451 49256 1143 13
0.124074 50323 1148 8
0.111079 50507 1149 6
0.109747 51015 1151 9
0.310955 51283 1154 4
0.170178 51627 1156 13
0.258516 53714 1163 12
0.129219 55251 1167 7
0.080931 56318 1168 3
0.156703 56890 1169 7
0.174992 58534 1174 10
0.192591 59776 1176 8
0.103124 61937 1177 5
0.090795 63382 1181 5
0.142115 64616 1183 8
0.283436 66084 1188 12
0.260745 67031 1189 11
0.085663 67105 1190 7
0.279001 67501 1192 9
0.165224 67979 1194 9
0.110425 68836 1196 6
0.094351 69813 1199 8
0.073297 71403 1205 3
0.116225 71495 1206 7
0.156208 73384 1210 7
0.135904 73693 1212 11
0.165636 76267 1219 10
0.278419 77004 1221 14
0.148925 77172 1223 11
0.149428 77260 1224 9
0.104761 78481 1225 9
0.110821 81034 1229 6
0.322647 81138 1230 11
0.317919 81858 1234 10
0.213784 82096 1235 10
0.125091 83151 1237 7
0.200256 83506 1238 7
0.091634 84235 1241 8
0.154884 84564 1243 9
0.22528 84849 1244 12
0.140105 84971 1245 7
0.105513 85060 1246 4
0.300162 85646 1247 16
0.175945 87499 1252 10
0.195976 88323 1254 7
0.123326 88388 1255 2
0.304771 89382 1257 16
0.162387 90176 1262 7
0.2938 90948 1265 7
0.205407 91236 1266 11
0.152066 92815 1270 9
0.088993 92919 1271 6
