time files tags numtags
0.202657 18299 1056 7 
0.111577 18762 1057 6 
0.167676 18891 1058 7 
0.154745 19585 1060 10 
0.11212 21813 1067 2 
0.143214 22071 1068 5 
0.159936 23351 1074 10 
0.142958 24047 1076 10 
0.228799 26496 1082 6 
0.19212 26658 1084 6 
0.198987 27043 1085 6 
0.168651 27389 1087 11 
0.183596 31283 1095 6 
0.283022 31297 1096 10 
0.192479 31608 1098 5 
0.177342 32109 1100 5 
0.287401 33016 1104 11 
0.145971 34889 1108 8 
0.177788 35159 1109 5 
0.211474 35777 1112 9 
0.290262 36196 1115 14 
0.221622 37652 1117 8 
0.208405 38321 1119 8 
0.236273 40371 1125 9 
0.197145 41559 1127 7 
0.217706 42181 1129 10 
0.134885 43525 1133 7 
0.105355 45276 1137 3 
0.303708 45298 1138 13 
0.198376 46594 1139 12 
0.144532 46859 1140 8 
0.1149 47316 1142 5 
0.159028 48391 1146 3 
0.107759 48686 1149 4 
0.172277 51232 1152 7 
0.111721 52110 1157 1 
0.197077 52134 1158 6 
0.212389 53610 1162 7 
0.218311 54800 1167 8 
0.263418 55657 1168 11 
0.166215 56465 1172 7 
0.28729 57281 1175 11 
0.226988 58393 1180 7 
0.191377 59332 1182 6 
0.183462 60787 1186 8 
0.152097 62159 1190 1 
0.16168 62718 1193 9 
0.168142 63666 1194 5 
0.257131 64048 1195 9 
0.157264 64749 1198 10 
0.297951 67613 1204 8 
0.225592 67855 1205 13 
0.202108 68279 1207 7 
0.154409 69938 1215 10 
0.204202 72357 1222 8 
0.127173 74081 1227 6 
0.287644 74451 1229 11 
0.09874 75274 1232 1 
0.307395 75465 1233 12 
0.174356 75664 1234 8 
0.133035 77362 1238 8 
0.165056 77773 1241 5 
0.137506 78091 1243 8 
0.202437 78268 1245 6 
0.26621 80636 1251 10 
0.204686 83826 1259 8 
0.186684 86041 1262 5 
0.253341 87034 1263 9 
0.247704 87272 1264 11 
0.164515 87503 1266 9 
0.153743 87856 1268 6 
0.149949 88735 1270 6 
0.243019 88921 1272 9 
0.261736 89905 1278 9 
0.232073 90211 1279 8 
0.136701 90817 1281 7 
0.18128 91572 1284 6 
0.137966 91589 1285 7 
0.17073 91641 1286 3 
0.229586 92051 1288 15 
0.287251 92217 1289 11 
0.282666 92431 1290 12 
0.10504 93272 1294 4 
0.215736 93467 1295 7 
0.158129 95131 1298 10 
0.185257 95249 1299 11 
0.177763 97783 1305 3 
0.191058 98522 1307 5 
0.296305 99116 1308 18 
0.258515 99470 1310 10 
0.112532 2364 1005 0 
0.156168 2942 1006 5 
0.192349 3812 1010 9 
0.520059 4070 1012 13 
0.393631 4471 1014 18 
0.131 4616 1015 8 
0.152066 5050 1017 9 
0.132493 6140 1020 8 
0.195311 6599 1021 7 
0.188597 9217 1030 7 
0.171492 9391 1031 8 
0.257815 10330 1034 16 
0.246516 12886 1039 5 
0.307131 13715 1041 7 
0.212567 18178 1055 11 
0.280993 18444 1056 12 
0.13216 18448 1057 1 
0.199716 20248 1061 8 
0.179494 20705 1065 6 
0.172663 21945 1068 4 
0.131495 23102 1070 7 
0.284075 23273 1071 8 
0.151382 23441 1072 10 
0.209634 25604 1075 10 
0.126687 26450 1078 7 
0.134625 27142 1080 8 
0.123111 27197 1081 6 
0.277462 28508 1085 13 
0.147359 29901 1088 9 
0.161563 29926 1089 11 
0.178878 30606 1093 5 
0.278602 30839 1094 13 
0.186076 30876 1095 6 
0.202837 32391 1097 10 
0.243541 33934 1101 10 
0.224448 36053 1108 9 
0.284573 36464 1109 13 
0.101794 37192 1111 4 
0.200503 37491 1113 7 
0.201734 37770 1114 6 
0.193564 38846 1119 7 
0.168303 41468 1124 11 
0.129701 44442 1129 2 
0.200195 45004 1133 5 
0.189066 45693 1135 7 
0.215285 46668 1137 9 
0.211896 49775 1144 8 
0.243162 49777 1145 10 
0.226716 50154 1147 7 
0.130745 50474 1150 8 
0.268873 51842 1154 6 
0.225872 58773 1169 9 
0.19309 59532 1172 12 
0.106166 60048 1176 0 
0.147337 61896 1180 7 
0.151424 62133 1181 9 
0.224922 62304 1182 9 
0.128314 63885 1186 7 
0.097441 65134 1190 3 
0.202395 66407 1193 7 
0.177815 67092 1195 6 
0.16688 69233 1199 8 
0.151982 70794 1203 3 
0.254919 71120 1204 9 
0.162183 71296 1205 6 
0.174734 71939 1207 8 
0.306046 72399 1208 14 
0.121051 73849 1210 7 
0.180048 74598 1211 10 
0.148701 78438 1221 9 
0.147117 79515 1226 9 
0.167488 79675 1229 2 
0.212567 81822 1234 12 
0.163719 82726 1235 5 
0.176598 82789 1236 11 
0.168906 82899 1238 10 
0.113693 84440 1242 5 
0.284206 85621 1247 13 
0.235297 86175 1249 8 
0.155478 89169 1254 7 
0.255705 90059 1258 10 
0.274418 90984 1261 12 
0.214979 91339 1262 5 
0.235022 91413 1263 9 
