time files tags associatedfiles
0.295129 193062 5001 19 
0.872172 194289 5001 61 
0.55259 194536 5001 37 
2.71209 195211 5001 111 
1.10239 195495 5001 46 
1.45138 196973 5001 108 
0.24753 197280 5001 17 
1.46245 197667 5001 108 
32.313 198580 5001 2291 
0.420613 199600 5001 29 
0.387723 199746 5001 27 
1.41634 200525 5001 103 
0.401017 202191 5001 27 
33.8996 203101 5001 2388 
33.2283 203894 5001 2396 
0.726095 203917 5001 51 
0.271202 205985 5001 18 
0.142237 209615 5001 8 
1.18721 210509 5001 86 
0.163014 210942 5001 11 
0.781113 212400 5001 54 
0.615096 214402 5001 45 
0.558476 218204 5001 41 
1.0254 219364 5001 70 
3.38099 221701 5001 182 
0.371693 221798 5001 26 
2.05646 223030 5001 139 
0.232241 224076 5001 16 
0.303957 224939 5001 20 
0.632543 224995 5001 45 
1.69779 225635 5001 114 
0.406013 227121 5001 29 
0.123195 227194 5001 8 
0.327413 227518 5001 23 
0.660271 229581 5001 47 
0.246476 231005 5001 17 
1.71947 233198 5001 123 
0.284557 235000 5001 20 
0.195507 235833 5001 13 
0.578444 235944 5001 40 
0.434292 238860 5001 30 
3.04718 239699 5001 212 
0.59222 239911 5001 41 
0.851028 240318 5001 53 
0.85151 240803 5001 59 
2.80272 244080 5001 199 
0.944755 244295 5001 68 
0.441832 245139 5001 24 
1.62237 245276 5001 84 
0.616486 245511 5001 44 
0.417394 248274 5001 31 
38.2989 248792 5001 2716 
0.587963 250623 5001 41 
1.17368 250661 5001 78 
0.829 254784 5001 56 
2.9304 258109 5001 208 
0.610632 259483 5001 42 
0.266263 259777 5001 18 
0.864876 259882 5001 59 
40.4761 261040 5001 2893 
0.785995 262717 5001 54 
1.2843 262871 5001 91 
1.4538 263121 5001 95 
0.385679 263331 5001 27 
0.266185 263495 5001 18 
0.222341 264453 5001 15 
1.33229 264899 5001 91 
0.82753 264982 5001 53 
0.574091 266072 5001 40 
0.372127 267203 5001 25 
43.6679 269626 5001 3030 
1.64549 269671 5001 128 
2.24695 269997 5001 148 
0.581258 270416 5001 40 
3.12677 270964 5001 214 
0.729912 271539 5001 52 
0.417544 272489 5001 29 
43.6475 272587 5001 3116 
0.464392 273889 5001 17 
1.73838 274373 5001 122 
1.26028 275316 5001 87 
1.3917 276056 5001 101 
0.462824 277465 5001 32 
0.424815 277798 5001 29 
2.932 278566 5001 205 
0.38639 279746 5001 26 
0.449199 280077 5001 29 
1.5571 280101 5001 105 
0.499107 280134 5001 35 
2.23596 282171 5001 155 
0.951776 282735 5001 66 
0.398757 282743 5001 27 
0.874825 283844 5001 60 
1.35816 284738 5001 96 
0.308055 284947 5001 21 
2.60362 285287 5001 181 
0.506772 285853 5001 35 
45.8384 286281 5001 3238 
0.353896 287732 5001 24 
1.29039 288970 5001 96 
1.80911 290235 5001 127 
0.43129 290576 5001 29 
3.75725 290670 5001 256 
0.860179 291102 5001 58 
1.49354 291266 5001 97 
1.46162 294411 5001 110 
3.5148 294866 5001 235 
0.003288 421 513 0 
0.032378 2058 560 2 
0.058392 2456 572 4 
0.697291 3981 615 51 
0.945073 5021 645 72 
0.908693 5502 659 71 
0.106852 5715 665 8 
0.062256 7409 713 4 
0.121115 8623 748 9 
2.25875 12416 856 189 
0.18961 12541 860 14 
2.46968 12711 865 193 
0.059583 12739 866 4 
0.190876 12974 872 14 
2.27607 13011 873 171 
0.019367 13305 882 1 
0.214567 16138 963 16 
0.208937 16185 964 16 
0.194948 17804 1010 15 
3.54986 19417 1056 267 
0.340047 20162 1078 25 
0.004001 20695 1093 0 
3.7995 21069 1104 291 
9.24739 25207 1222 386 
0.042807 26045 1246 3 
0.270134 26146 1249 20 
4.91798 26489 1259 365 
0.3045 26843 1269 23 
0.181102 26886 1270 13 
0.12948 31760 1409 9 
0.291496 32137 1420 22 
0.120578 33343 1455 9 
0.019349 33397 1456 1 
0.123205 33543 1460 9 
0.0706 33544 1460 5 
6.51852 34085 1476 456 
8.93544 34755 1495 439 
0.087191 36272 1538 6 
0.177783 37244 1566 13 
0.863229 40347 1655 35 
6.90629 40756 1667 544 
0.186349 42096 1705 14 
7.64502 42529 1718 572 
0.112294 42985 1731 8 
0.371681 43102 1734 28 
0.019196 44521 1775 1 
0.01912 44662 1779 1 
0.033318 45399 1800 2 
0.081993 46468 1830 6 
0.15528 47639 1864 11 
0.283883 48088 1877 21 
0.432993 48293 1882 32 
0.027136 48673 1893 1 
0.071537 50282 1940 5 
9.26822 50375 1942 700 
0.019406 54245 2053 1 
0.236243 56029 2104 17 
0.313178 56278 2111 23 
0.257932 57095 2135 19 
0.134588 59152 2194 10 
0.019957 59365 2200 1 
0.538553 60808 2241 42 
0.381529 61274 2255 28 
