time files tags numtags
0.091863 96861 3276 3 
0.091243 98333 3319 2 
0.09062 98732 3330 3 
0.104584 98924 3336 5 
0.090733 99255 3345 1 
0.081846 102177 3429 1 
0.089365 102800 3447 2 
0.088598 104450 3494 2 
0.080805 104517 3496 1 
0.216984 107037 3569 16 
0.104493 107223 3574 4 
0.147769 107605 3585 10 
0.113041 107901 3594 1 
0.08508 107935 3595 2 
0.085494 108624 3614 2 
0.093409 108967 3625 2 
0.08109 110361 3664 1 
0.111229 110451 3667 3 
0.09807 111824 3707 4 
0.090561 112830 3736 3 
0.107277 113585 3757 5 
0.203934 113807 3764 14 
0.113872 114971 3797 5 
0.174233 115719 3818 4 
0.08275 116711 3847 1 
0.083734 118851 3909 1 
0.102034 119004 3913 5 
0.102654 121958 3998 1 
0.112299 122503 4014 3 
0.11447 124176 4062 3 
0.105262 125066 4088 1 
0.104149 125839 4110 2 
0.093429 126767 4137 3 
0.167002 128548 4188 10 
0.081187 129433 4214 0 
0.166056 129447 4214 9 
0.110718 134452 4358 6 
0.087701 134545 4361 2 
0.094946 135422 4386 2 
0.084887 138013 4461 2 
0.145198 138165 4465 7 
0.09892 138282 4469 1 
0.140814 139093 4492 7 
0.148517 139097 4492 8 
0.09753 140782 4541 1 
0.097981 141249 4554 1 
0.08267 141366 4557 0 
0.101623 142440 4588 2 
0.09564 146712 4712 3 
0.146897 147207 4726 10 
0.093656 149526 4793 3 
0.104236 152068 4866 5 
0.065252 152940 4891 0 
0.119302 154768 4944 7 
0.080166 155030 4952 1 
0.09148 155062 4953 3 
0.125714 155844 4975 3 
0.101268 158744 5001 4 
0.085381 159027 5001 2 
0.145034 160186 5001 10 
0.086125 160378 5001 2 
0.08266 161963 5001 1 
0.087772 162072 5001 2 
0.096569 163115 5001 3 
0.093954 164942 5001 3 
0.110826 168538 5001 3 
0.093026 169559 5001 3 
0.172241 169801 5001 12 
0.109971 172504 5001 5 
0.156654 172970 5001 9 
0.106014 173382 5001 3 
0.097657 173390 5001 2 
0.110365 173716 5001 3 
0.423481 175074 5001 9 
0.103803 176237 5001 4 
0.106666 176378 5001 4 
0.085461 176465 5001 2 
0.080465 177060 5001 1 
0.128206 179276 5001 8 
0.140177 179709 5001 9 
0.077639 180075 5001 1 
0.097437 180135 5001 3 
0.091026 180710 5001 3 
0.111116 180929 5001 6 
0.110991 183287 5001 6 
0.085943 183640 5001 2 
0.144782 183745 5001 10 
0.109998 183822 5001 5 
0.095604 184233 5001 4 
0.143339 185569 5001 9 
0.109869 186531 5001 6 
0.137251 192588 5001 2 
0.096668 192629 5001 3 
0.087945 192711 5001 2 
0.146701 192716 5001 9 
0.08763 193062 5001 2 
0.084938 194289 5001 2 
0.081324 194536 5001 1 
