time files tags numtags
0.037522 110451 3667 3
0.044115 111824 3707 4
0.038672 112830 3736 3
0.046934 113585 3757 5
0.138642 113807 3764 14
0.050747 114971 3797 5
0.051036 115719 3818 4
0.046644 116711 3847 1
0.047255 118851 3909 1
0.051733 119004 3913 5
0.033314 121958 3998 1
0.039737 122503 4014 3
0.0405 124176 4062 3
0.032197 125066 4088 1
0.049168 125839 4110 2
0.039857 126767 4137 3
0.095707 128548 4188 10
0.089798 129447 4214 9
0.056439 134452 4358 6
0.037539 134545 4361 2
0.036709 135422 4386 2
0.042748 138013 4461 2
0.069419 138165 4465 7
0.029787 138282 4469 1
0.067075 139093 4492 7
0.083868 139097 4492 8
0.033505 140782 4541 1
0.033798 141249 4554 1
0.037644 142440 4588 2
0.043581 146712 4712 3
0.431191 147207 4726 10
0.04473 149526 4793 3
0.063559 152068 4866 5
0.070604 154768 4944 7
0.029878 155030 4952 1
0.040123 155062 4953 3
0.035775 155844 4975 3
0.060041 158744 5001 4
0.037265 159027 5001 2
0.095158 160186 5001 10
0.036051 160378 5001 2
0.035306 161963 5001 1
0.039575 162072 5001 2
0.03873 163115 5001 3
0.047124 164942 5001 3
0.047351 168538 5001 3
0.036701 169559 5001 3
0.119226 169801 5001 12
0.057845 172504 5001 5
0.094895 172970 5001 9
0.043369 173382 5001 3
0.050983 173390 5001 2
0.062965 173716 5001 3
0.111508 175074 5001 9
0.053914 176237 5001 4
0.051303 176378 5001 4
0.137548 176465 5001 2
0.028061 177060 5001 1
0.104707 179276 5001 8
0.081774 179709 5001 9
0.030359 180075 5001 1
0.037169 180135 5001 3
0.055829 180710 5001 3
0.076451 180929 5001 6
0.071077 183287 5001 6
0.050151 183640 5001 2
0.098602 183745 5001 10
0.06728 183822 5001 5
0.052707 184233 5001 4
0.096007 185569 5001 9
0.071149 186531 5001 6
0.076802 192588 5001 2
0.040771 192629 5001 3
0.031721 192711 5001 2
0.09124 192716 5001 9
0.036253 193062 5001 2
0.029304 194289 5001 2
0.031254 194536 5001 1
0.057687 195211 5001 1
0.072803 195495 5001 5
0.041295 196973 5001 3
0.036178 197280 5001 3
0.036906 197667 5001 2
0.033434 198580 5001 2
0.048192 199600 5001 4
0.064979 199746 5001 6
0.0742 200525 5001 8
0.087449 202191 5001 9
0.044864 203101 5001 3
0.044104 203894 5001 5
0.045239 203917 5001 4
0.031361 205985 5001 1
0.155621 209615 5001 13
0.064334 210509 5001 2
0.094589 210942 5001 10
0.085746 212400 5001 9
0.063359 214402 5001 7
0.047757 218204 5001 3
0.06915 219364 5001 7
0.056921 221701 5001 2
0.038612 221798 5001 3
0.061958 223030 5001 6
0.035878 224076 5001 2
0.042966 224939 5001 3
0.039714 224995 5001 3
0.030339 225635 5001 1
0.071198 227121 5001 8
0.092685 227194 5001 10
0.071759 227518 5001 8
0.111975 229581 5001 12
0.035171 231005 5001 1
0.059971 233198 5001 6
0.059997 235000 5001 4
0.042649 235833 5001 3
0.039071 235944 5001 2
0.037974 238860 5001 3
0.050396 239699 5001 5
0.034338 239911 5001 1
0.064163 240318 5001 7
0.047835 240803 5001 1
0.037973 244080 5001 2
0.05929 244295 5001 5
0.04889 245139 5001 3
0.038927 245276 5001 2
0.051195 245511 5001 5
0.03721 248274 5001 2
0.055748 248792 5001 5
0.027805 250623 5001 1
0.043641 250661 5001 2
0.051555 254784 5001 4
0.035484 258109 5001 1
0.036872 259483 5001 1
0.04499 259777 5001 4
0.033655 259882 5001 1
0.043663 261040 5001 3
0.040056 262717 5001 3
0.032871 262871 5001 1
0.051777 263121 5001 4
0.047869 263331 5001 4
0.035631 263495 5001 1
0.051022 264453 5001 2
0.05135 264899 5001 5
0.04207 264982 5001 2
0.028842 266072 5001 1
0.040142 267203 5001 3
0.030198 269626 5001 1
0.061732 269671 5001 7
0.03204 269997 5001 1
0.076382 270416 5001 8
0.070039 270964 5001 8
0.071522 271539 5001 8
0.048757 272489 5001 5
0.041531 272587 5001 3
0.116657 273889 5001 7
0.093258 274373 5001 10
0.047998 275316 5001 4
0.031046 276056 5001 2
0.054444 277465 5001 5
0.04613 277798 5001 3
0.062785 278566 5001 7
0.052005 279746 5001 3
0.065958 280077 5001 6
0.050864 280101 5001 3
0.051877 280134 5001 5
0.044782 282171 5001 2
0.062323 282735 5001 6
0.033674 282743 5001 1
0.037413 283844 5001 1
0.034745 284738 5001 1
0.055122 284947 5001 5
0.028757 285287 5001 1
0.043684 285853 5001 4
0.100546 286281 5001 10
0.119167 287732 5001 13
0.070439 288970 5001 8
0.03128 290235 5001 2
0.064397 290576 5001 5
0.0669 290670 5001 6
0.071219 291102 5001 7
0.04359 291266 5001 4
0.048325 294411 5001 5
0.052807 294866 5001 3
0.027937 421 513 2
0.044263 2058 560 4
0.035536 2456 572 2
0.059194 3981 615 6
0.03639 5021 645 3
0.030604 5502 659 2
0.03012 5715 665 2
0.027242 7409 713 1
