time files tags numfiles
0.001802 124826 4080 1
0.052511 125159 4089 250
0.001846 125471 4098 1
0.00157 125902 4111 1
0.001856 126532 4129 1
0.001993 127194 4148 1
0.001795 127480 4156 1
0.00159 133160 4320 1
0.052496 138091 4462 265
0.00183 140220 4523 1
0.001668 140937 4544 1
0.057307 152046 4864 278
0.060646 155923 4976 286
0.071025 156282 4987 295
0.074712 160288 5001 301
0.002463 160521 5001 1
0.002409 163926 5001 1
0.001836 164404 5001 1
0.001818 168650 5001 1
0.059146 170239 5001 318
0.002132 173286 5001 1
0.0019 175505 5001 1
0.066078 175527 5001 318
0.035503 176048 5001 151
0.001877 176520 5001 1
0.065592 176691 5001 331
0.012279 176715 5001 31
0.206943 177685 5001 333
0.002263 180833 5001 1
0.001656 186099 5001 1
0.001891 187955 5001 1
0.002588 189225 5001 1
0.001636 192892 5001 1
0.014091 195463 5001 52
0.001966 196449 5001 1
0.001983 196842 5001 1
0.033621 197791 5001 141
0.001694 199248 5001 1
0.095063 200195 5001 387
0.001834 201429 5001 1
0.002402 203551 5001 1
0.003124 203912 5001 1
0.080656 204480 5001 388
0.002016 204669 5001 1
0.09793 205558 5001 397
0.001866 206266 5001 1
0.089446 207069 5001 401
0.065112 210119 5001 304
0.001751 211392 5001 1
0.008044 212468 5001 22
0.099876 212638 5001 414
0.091992 214974 5001 423
0.092394 216424 5001 417
0.090152 216559 5001 419
0.001851 218883 5001 1
0.00189 219193 5001 1
0.088784 220109 5001 421
0.0018 222448 5001 1
0.092761 223649 5001 434
0.001996 223839 5001 1
0.088102 229378 5001 387
0.087829 230429 5001 457
0.087017 233831 5001 442
0.001785 234313 5001 1
0.002057 236369 5001 1
0.090841 237839 5001 460
0.002078 250138 5001 1
0.002162 251152 5001 1
0.097916 251751 5001 483
0.001862 251974 5001 1
0.00197 252979 5001 1
0.001927 253990 5001 1
0.001949 257434 5001 1
0.117643 257593 5001 415
0.008805 257926 5001 28
0.0021 258885 5001 1
0.002083 260052 5001 1
0.103005 262937 5001 508
0.001812 263640 5001 1
0.02874 265991 5001 137
0.002019 267557 5001 1
0.001887 271268 5001 1
0.109631 272165 5001 531
0.001807 274756 5001 1
0.002235 276264 5001 1
0.001978 276826 5001 1
0.002344 277456 5001 1
0.003075 278959 5001 3
0.002056 280256 5001 1
0.00265 281971 5001 1
0.001947 282383 5001 1
0.002798 284661 5001 1
0.046287 286667 5001 224
0.00198 288547 5001 1
0.001875 288579 5001 1
0.059756 288868 5001 278
0.026076 289358 5001 113
0.00152 291422 5001 1
0.126821 291537 5001 578
0.002728 292281 5001 2
0.001974 292583 5001 1
0.114875 293298 5001 559
0.001555 150 506 1
0.001693 277 509 1
0.003762 2496 573 7
0.001453 5797 667 2
0.006336 7416 713 14
0.008648 14466 915 20
0.009289 14830 925 24
0.001724 17342 997 1
0.012309 18958 1043 30
0.012307 21590 1119 35
0.012183 21703 1122 36
0.002211 21938 1128 1
0.001795 22807 1153 1
0.012385 23311 1168 45
0.015219 24891 1213 48
0.002539 24981 1216 2
0.002013 25654 1235 2
0.014313 29052 1332 57
0.014826 29713 1351 60
0.001478 30809 1382 1
0.01775 33665 1464 70
0.021098 36034 1532 78
0.002229 39385 1628 2
0.001973 40338 1655 1
0.001684 41411 1686 1
0.001831 41927 1700 1
0.001727 42667 1722 1
0.002079 43813 1754 1
0.001797 45567 1805 1
0.026178 47723 1866 104
0.002004 48115 1878 1
0.026129 48817 1898 106
0.002201 52616 2006 1
0.001924 55493 2089 1
0.001828 57960 2160 1
0.010282 61107 2250 32
0.031541 61631 2265 127
0.001724 62832 2299 1
0.032251 63885 2329 135
0.032416 66977 2418 142
0.001879 70307 2514 1
0.024814 71410 2545 149
0.002088 73899 2617 1
0.033433 75083 2651 152
0.001856 75778 2671 1
0.001645 78912 2760 1
0.002072 78953 2762 1
0.036205 83314 2887 166
0.001953 88122 3025 1
0.001758 88933 3048 1
0.001813 89377 3061 1
0.001734 90460 3092 1
0.001618 91571 3124 1
0.04442 96139 3255 195
0.028271 96974 3279 126
0.002543 99577 3354 3
0.001905 99982 3366 1
0.002246 100080 3369 1
0.045012 100584 3383 202
0.0475 101198 3401 203
0.04438 102301 3432 207
0.05049 102917 3450 214
0.058648 102931 3451 218
0.052328 103148 3457 224
0.001769 107207 3574 1
0.00151 109581 3642 1
0.001933 112198 3717 1
0.048137 116104 3829 229
0.002229 119181 3918 1
0.001755 121186 3976 1
0.052855 122652 4018 251
0.05134 122766 4021 249
0.001765 123905 4054 1
0.002892 128830 4195 1
0.001656 131282 4266 1
0.061785 133190 4321 271
0.002075 135381 4384 1
0.00262 140459 4531 1
0.056978 141793 4569 264
0.001985 143018 4605 1
0.00179 143771 4626 1
0.002102 144832 4657 2
0.066815 146365 4701 294
0.001822 146619 4708 1
0.06336 148541 4764 301
0.003618 152471 4877 2
0.001855 153949 4919 1
0.080879 154646 4940 320
0.070478 156512 4993 318
0.05868 157552 5001 229
0.002456 158622 5001 1
0.070848 160098 5001 327
0.065981 162735 5001 331
0.001856 165154 5001 1
0.001759 166237 5001 1
0.001765 167076 5001 1
0.070139 169777 5001 337
0.068708 169882 5001 348
0.002126 175385 5001 1
0.089445 178930 5001 354
0.001874 181002 5001 1
0.075871 182403 5001 362
0.001988 182881 5001 1
0.002086 183609 5001 1
0.07212 186217 5001 369
0.081085 187019 5001 382
0.001909 189528 5001 1
0.077787 189944 5001 380
0.001796 190134 5001 1
0.002694 192718 5001 1
0.097798 194632 5001 391
0.001854 196096 5001 1
0.001552 198109 5001 1
0.02412 200201 5001 102
0.001825 200734 5001 1
0.001769 202177 5001 1
0.092357 205577 5001 417
0.001929 209407 5001 1
0.057162 211830 5001 276
0.031989 212358 5001 134
0.082245 212493 5001 306
0.001817 212698 5001 1
0.001734 214892 5001 1
0.002127 216430 5001 1
0.089883 216889 5001 444
0.106692 217187 5001 444
0.002354 217411 5001 1
0.093142 218600 5001 450
0.075358 220269 5001 382
0.044773 223584 5001 214
0.023228 223825 5001 100
0.062999 224597 5001 321
0.090379 228020 5001 473
0.001763 228104 5001 1
0.00276 229798 5001 1
0.001981 234070 5001 1
0.002635 240265 5001 1
0.001901 243687 5001 1
0.114395 247701 5001 429
0.099551 248319 5001 496
0.090602 248923 5001 466
0.003265 253144 5001 3
0.112534 253573 5001 512
0.001932 258917 5001 1
0.111757 262790 5001 519
0.103141 262986 5001 530
0.109496 266087 5001 524
0.002191 268214 5001 1
0.06832 268953 5001 286
0.116683 270428 5001 548
0.001853 271589 5001 1
0.103983 272486 5001 551
0.0027 274564 5001 2
0.128606 275586 5001 558
0.039743 277447 5001 188
0.150786 278262 5001 561
0.104183 282325 5001 567
0.002338 285565 5001 1
0.001738 285642 5001 1
0.072511 287179 5001 320
0.001666 289802 5001 1
0.11767 290428 5001 594
0.001903 291612 5001 1
0.086006 296585 5001 399
