time files tags numfiles numtags
0.015502 272165 5001 52 1
0.057657 274756 5001 0 2
0.016132 276264 5001 63 1
0.014875 276826 5001 39 1
0.027333 277456 5001 0 3
0.024977 278959 5001 0 2
0.011659 280256 5001 37 1
0.099315 281971 5001 0 2
0.01211 282383 5001 0 3
0.015812 284661 5001 0 4
0.011932 286667 5001 43 1
0.057213 288547 5001 0 2
0.028111 288579 5001 0 2
0.024211 288868 5001 0 3
0.014315 289358 5001 0 5
0.006617 291422 5001 17 1
0.014828 291537 5001 0 2
0.669686 292281 5001 3155 1
0.024983 292583 5001 0 3
0.023196 293298 5001 0 5
0.001 150 506 0 1
0.0011 277 509 0 1
0.004653 2496 573 0 4
0.013468 5797 667 81 1
0.003379 7416 713 7 1
0.007913 14466 915 0 3
0.011499 14830 925 1 2
0.008566 17342 997 0 3
0.009435 18958 1043 0 11
0.003992 21590 1119 0 2
0.006269 21703 1122 17 1
0.006715 21938 1128 20 1
0.007187 22807 1153 0 3
0.005578 23311 1168 13 1
0.008644 24891 1213 0 11
0.00657 24981 1216 0 2
0.004508 25654 1235 0 4
0.008304 29052 1332 0 3
0.007432 29713 1351 31 1
0.006017 30809 1382 0 2
0.004949 33665 1464 0 2
0.013118 36034 1532 0 2
0.01836 39385 1628 0 2
0.009144 40338 1655 0 5
0.009281 41411 1686 0 6
0.005876 41927 1700 0 5
0.008105 42667 1722 29 1
0.034423 43813 1754 0 2
0.010524 45567 1805 0 5
0.007998 47723 1866 25 1
0.01501 48115 1878 0 3
0.009707 48817 1898 36 1
0.015792 52616 2006 52 1
0.003145 55493 2089 0 2
0.011285 57960 2160 41 1
0.005555 61107 2250 15 1
0.00917 61631 2265 31 1
0.017438 62832 2299 0 2
0.010976 63885 2329 0 4
0.004779 66977 2418 0 4
0.005527 70307 2514 13 1
0.009656 71410 2545 29 1
0.008481 73899 2617 29 1
0.012252 75083 2651 0 5
0.012105 75778 2671 0 8
0.003828 78912 2760 6 1
0.217808 78953 2762 1003 1
0.014491 83314 2887 59 1
0.007925 88122 3025 22 1
0.006593 88933 3048 0 6
0.006658 89377 3061 0 6
0.009855 90460 3092 0 3
0.006091 91571 3124 15 1
0.007657 96139 3255 0 2
0.008225 96974 3279 0 2
0.005541 99577 3354 0 5
0.009298 99982 3366 29 1
0.007485 100080 3369 22 1
0.005766 100584 3383 0 3
0.006515 101198 3401 0 2
0.001839 102301 3432 1 1
0.013195 102917 3450 0 3
0.008167 102931 3451 0 2
0.003738 103148 3457 3 1
0.003824 107207 3574 0 3
0.005895 109581 3642 15 1
0.00438 112198 3717 8 1
0.017505 116104 3829 0 5
0.022791 119181 3918 74 1
0.007164 121186 3976 18 1
0.015941 122652 4018 0 2
0.014519 122766 4021 0 2
0.004629 123905 4054 0 3
0.098587 128830 4195 3 2
0.019449 131282 4266 72 1
0.040513 133190 4321 0 2
0.031189 135381 4384 0 2
0.017539 140459 4531 63 1
0.008833 141793 4569 26 1
0.005614 143018 4605 0 2
0.008316 143771 4626 26 1
0.00364 144832 4657 4 1
0.014161 146365 4701 0 6
0.009998 146619 4708 0 3
0.004885 148541 4764 0 3
0.009087 152471 4877 0 2
0.007491 153949 4919 22 1
0.014221 154646 4940 0 4
0.002082 156512 4993 1 1
0.004434 157552 5001 0 2
0.006004 158622 5001 0 2
0.006608 160098 5001 0 2
0.008366 162735 5001 0 5
0.017695 165154 5001 0 2
0.013523 166237 5001 44 1
0.009631 167076 5001 31 1
0.014154 169777 5001 0 2
0.009345 169882 5001 0 3
0.014166 175385 5001 0 2
0.007083 178930 5001 18 1
0.009171 181002 5001 0 2
0.008586 182403 5001 0 6
0.009052 182881 5001 0 3
0.004503 183609 5001 9 1
0.03953 186217 5001 169 1
0.029802 187019 5001 0 2
0.051593 189528 5001 0 2
0.463942 189944 5001 2202 1
0.011403 190134 5001 0 2
0.023059 192718 5001 0 3
0.012394 194632 5001 0 4
0.010957 196096 5001 0 6
0.009485 198109 5001 30 1
0.010791 200201 5001 34 1
0.004981 200734 5001 9 1
0.011184 202177 5001 0 2
0.019525 205577 5001 0 2
0.034132 209407 5001 136 1
0.017628 211830 5001 0 2
0.015931 212358 5001 0 13
0.02003 212493 5001 0 2
0.005267 212698 5001 12 1
0.013264 214892 5001 0 6
0.0126 216430 5001 0 6
0.011512 216889 5001 0 5
0.078565 217187 5001 0 2
0.056092 217411 5001 0 2
0.004871 218600 5001 9 1
0.014794 220269 5001 55 1
0.015306 223584 5001 0 4
0.014906 223825 5001 0 4
0.018035 224597 5001 66 1
0.042954 228020 5001 1 2
0.037007 228104 5001 142 1
0.063857 229798 5001 0 2
0.022523 234070 5001 0 4
0.010952 240265 5001 0 3
0.025337 243687 5001 0 2
0.01747 247701 5001 0 6
0.055666 248319 5001 0 2
0.021511 248923 5001 0 3
0.032133 253144 5001 123 1
0.015751 253573 5001 0 3
0.019646 258917 5001 0 2
0.050852 262790 5001 226 1
0.014861 262986 5001 0 3
0.020574 266087 5001 0 4
0.04117 268214 5001 0 2
0.012963 268953 5001 0 7
0.028925 270428 5001 0 2
0.012733 271589 5001 43 1
0.070899 272486 5001 0 3
0.023232 274564 5001 0 7
0.021612 275586 5001 0 7
0.047553 277447 5001 0 3
0.024946 278262 5001 0 5
0.066007 282325 5001 0 2
0.02509 285565 5001 0 3
0.016696 285642 5001 41 1
0.042525 287179 5001 0 2
0.017184 289802 5001 0 4
0.027434 290428 5001 0 2
0.042746 291612 5001 192 1
0.008452 296585 5001 24 1
